id,name,lng,lat
IDFM:61943,Boissise-le-Roi,2.572283203120122,48.529526259908785
IDFM:411508,Chartres,1.4805376543356368,48.44815728195019
IDFM:71651,Vincennes,2.434782751025897,48.84749214697868
IDFM:411281,Lycée Henri Sellier,2.5149760564466153,48.91633161750583
IDFM:67180,Seugy,2.3996583056293246,49.11912737513361
IDFM:411450,Voves,1.6220416259899684,48.27503094784323
IDFM:61450,Vernou-sur-Seine,2.842372508646191,48.386675792994815
IDFM:73681,Daumesnil,2.4150450137291584,48.65074127557967
IDFM:73568,Parc des Expositions,2.5139817411299967,48.97385357723973
IDFM:70829,Suresnes Mont Valérien,2.2211437176254165,48.871802506734774
IDFM:65485,Enghien-les-Bains,2.3069020049902758,48.97292564708363
IDFM:72301,Boulevard d'Achères,2.255319646659911,48.932099328400085
IDFM:72285,Saint-Denis - Porte de Paris,2.3563512339774797,48.929851765017084
IDFM:63989,Montreuil,2.152070746625082,48.806388385797796
IDFM:411333,Boran-sur-Oise,2.3624707440874264,49.1672028872701
IDFM:72396,Villetaneuse Université,2.342068642327161,48.96002596412975
IDFM:59734,Chamarande,2.2157940464630372,48.51350862761326
IDFM:61414,Montereau,2.942946687501169,48.37997743815116
IDFM:64394,Mairie / L'Etang la Ville,2.0728872721629013,48.87051664556693
IDFM:62951,Courcelle-sur-Yvette,2.0982307170469556,48.70086080167035
IDFM:69237,Lizy-sur-Ourcq,3.0317605166535815,49.02177206596266
IDFM:60247,Brétigny,2.3019864351015764,48.607013554066775
IDFM:424396,Ivry-sur-Seine,2.3903851080155145,48.81382663917094
IDFM:59470,Maisse,2.3932232774294215,48.39310314038791
IDFM:70713,Garches - Marnes-la-Coquette,2.186532638388526,48.8383450688878
IDFM:66557,Taverny,2.221793081970764,49.02543219498641
IDFM:70313,Vitry-sur-Seine,2.401480648709674,48.80045935636129
IDFM:417630,Gare de Sevres - Rive Gauche,2.2188608495701967,48.82084263604628
IDFM:60665,Rambouillet,1.8321617680989135,48.643467276907465
IDFM:64528,Gaudines,2.071861456456491,48.89250710860041
IDFM:60084,Moulin Galant,2.473085676063421,48.58687542039321
IDFM:72648,Le Blanc-Mesnil,2.4765403222364855,48.932451407115856
IDFM:68638,Mairie / Place de l'Europe,2.8126960536225267,48.90087650559051
IDFM:69529,Hôpital Jean Rostand,2.2015746402815504,48.82082777385655
IDFM:68123,Lognes,2.6332793753873904,48.83919987267613
IDFM:483238,Grand Cerf,2.207328498828686,48.923607808104265
IDFM:63507,Les Pyramides,1.9483774272615884,48.76320595150607
IDFM:59940,Breuillet Village,2.1712641165403426,48.56465083614513
IDFM:478374,Edouard Branly / Pierre Edouard,2.162478127453482,48.801029523882114
IDFM:66005,Franconville - Le Plessis-Bouchard,2.234659273198872,48.99348411098613
IDFM:61836,Fernand Léger / Vosves,2.5928558621408477,48.51391867368138
IDFM:69846,Rouget de Lisle,2.405556252970153,48.76419317149715
IDFM:60981,Viry-Châtillon,2.3861479691997296,48.67573243977897
IDFM:413632,Sognolles,2.1987342417204396,49.050993593935516
IDFM:67924,Guérard - La Celle-sur-Morin,2.955567892969253,48.811046607688304
IDFM:68153,Noisiel,2.6160744874937913,48.84354368236578
IDFM:68117,Eglise / Collégien,2.6691450082194863,48.83942585911968
IDFM:68311,Villiers Montbarbin,2.8840446308943424,48.863191689658315
IDFM:66042,Verdun / Conflans Sainte-Honorine Noctilien,2.0941107148423113,48.99654302239395
IDFM:70612,Issy,2.258368889510842,48.81968665528405
IDFM:67131,Us,1.9704028240323048,49.10022552227606
IDFM:73709,L'Abbaye,2.5165961841813282,48.921860222994695
IDFM:72126,Saint-Ouen,2.321963457650817,48.90474240856289
IDFM:73608,Conseil Départemental / Conseil Général,2.0743765133556096,49.03181843530079
IDFM:411419,La Borne Blanche,2.5069005014512595,49.127053224008336
IDFM:67625,Tournan,2.7592365672264005,48.73916701414656
IDFM:72073,Clichy - Levallois,2.2979029131068054,48.89636151602909
IDFM:64483,Chatou - Croissy,2.1552608506176005,48.88517426533577
IDFM:65988,Juziers,1.8452085716946895,48.992404826451406
IDFM:63175,Palaiseau,2.246956614079129,48.71681094856261
IDFM:70033,Bourg-la-Reine,2.31237694811769,48.78000860296694
IDFM:68476,Chessy / Mairie,2.7657912167383714,48.878581310673674
IDFM:71799,Porte de Bagnolet,2.408792445557738,48.86405391823427
IDFM:61850,Vosves,2.5994097381795305,48.51507609100275
IDFM:64246,Noisy-le-Roi,2.0616351557676804,48.841630657693365
IDFM:69671,Villeneuve Triage,2.4379368050256933,48.74582179230485
IDFM:71269,Musée d'Orsay,2.3255847993311374,48.860565159015714
IDFM:71311,République,2.3641535175879786,48.86769225425708
IDFM:411339,Trie-Château,1.8184760003367584,49.28241848621809
IDFM:73614,Courbevoie,2.248274954893606,48.89820967407647
IDFM:67942,Gare de Chailly Boissy le Chatel,3.151256973174224,48.81450265128238
IDFM:63955,Montfort-l'Amaury - Méré,1.8156354836934856,48.80263340840436
IDFM:74349,Maintenon,1.5926330908061617,48.586256682993294
IDFM:71545,Porte de Clichy,2.3137113966769203,48.89481188799929
IDFM:61767,Fontaine-le-Port,2.7506556351555926,48.48715522620524
IDFM:61094,Souppes - Château-Landon,2.735091695481384,48.18162980663414
IDFM:65562,Deuil - Montmagny,2.3373020977347454,48.97559739743051
IDFM:70584,Vanves - Malakoff,2.293950524228962,48.818683381477314
IDFM:72517,Escadrille Normandie - Niémen,2.4365491523875473,48.91286788510767
IDFM:72179,Bois-Colombes,2.2712625826743116,48.91402688268647
IDFM:73217,Ville Évrard,2.5458306790097525,48.862727843602556
IDFM:69212,Aéroport CDG - Terminal 1,2.541760333008855,49.01399178926818
IDFM:69196,Thieux - Nantouillet,2.680610129669566,49.00834494188708
IDFM:477288,Clichy-sous-Bois - Mairie,2.5460331868205346,48.908314747208124
